Id,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleCondition,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,GarageCars,GarageArea,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold
1,1,1,3,3,4,0,5,2,2,0,5,1,1,1,2,4,2,2,4,3,2,6,1,0,1,6,3,1,2,5,5,2,3,4,1,4,706.0,0.0,150.0,856.0,1.0,0.0,2.0,548.0,60,65,8450,7,5,2003,2003,196,856,854,0,1710,2,1,3,1,8,0,2003,0,61,0,0,0,0,0,2,2008
2,1,1,3,3,2,0,24,1,2,0,2,1,1,2,3,4,1,2,4,1,0,6,1,0,1,6,5,1,2,5,5,2,3,4,1,4,978.0,0.0,284.0,1262.0,0.0,1.0,2.0,460.0,20,80,9600,6,8,1976,1976,0,1262,0,0,1262,2,0,3,1,6,1,1976,298,0,0,0,0,0,0,5,2007
3,1,1,0,3,4,0,5,2,2,0,5,1,1,1,2,4,2,2,4,2,2,6,1,0,1,6,5,1,2,5,5,2,3,4,1,4,486.0,0.0,434.0,920.0,1.0,0.0,2.0,608.0,60,68,11250,7,5,2001,2002,162,920,866,0,1786,2,1,3,1,6,1,2001,0,42,0,0,0,0,0,9,2008
4,1,1,0,3,0,0,6,2,2,0,5,1,1,2,3,4,0,4,1,3,0,6,1,2,1,6,2,5,3,5,5,2,3,4,1,0,216.0,0.0,540.0,756.0,1.0,0.0,3.0,642.0,70,60,9550,7,5,1915,1970,0,961,756,0,1717,1,0,3,1,7,1,1998,0,35,272,0,0,0,0,2,2006
5,1,1,0,3,2,0,15,2,2,0,5,1,1,1,2,4,2,2,4,0,2,6,1,0,1,6,5,1,2,5,5,2,3,4,1,4,655.0,0.0,490.0,1145.0,1.0,0.0,3.0,836.0,60,84,14260,8,5,2000,2000,350,1145,1053,0,2198,2,1,4,1,9,1,2000,192,84,0,0,0,0,0,12,2008
6,1,1,0,3,4,0,11,2,2,0,0,1,1,2,3,4,5,2,4,3,2,6,1,0,1,6,3,1,3,5,5,2,3,2,3,4,732.0,0.0,64.0,796.0,1.0,0.0,2.0,480.0,50,85,14115,5,5,1993,1995,0,796,566,0,1362,1,1,1,1,5,0,1993,40,30,0,320,0,0,700,10,2009
7,1,1,3,3,4,0,21,2,2,0,2,1,1,3,2,4,2,0,4,0,2,6,1,0,1,6,2,1,2,5,5,2,3,4,1,4,1369.0,0.0,317.0,1686.0,1.0,0.0,2.0,636.0,20,75,10084,8,5,2004,2005,186,1694,0,0,1694,2,0,3,1,7,1,2004,255,57,0,0,0,0,0,8,2007
8,1,1,0,3,0,0,14,4,2,0,5,1,1,3,3,4,1,2,4,2,0,1,1,0,1,6,5,1,2,5,5,2,3,4,3,4,859.0,32.0,216.0,1107.0,1.0,0.0,2.0,484.0,60,0,10382,7,6,1973,1973,240,1107,983,0,2090,2,1,3,1,7,2,1973,235,204,228,0,0,0,350,11,2009
9,1,1,3,3,4,0,17,0,2,0,0,1,1,2,3,4,0,4,4,3,6,6,1,2,1,2,5,5,3,1,5,2,3,4,1,0,0.0,0.0,952.0,952.0,0.0,0.0,2.0,468.0,50,51,6120,7,5,1931,1950,0,1022,752,0,1774,2,0,2,2,8,2,1931,90,0,205,0,0,0,0,4,2008
10,1,1,3,3,0,0,3,0,0,1,1,1,1,2,3,4,0,4,4,3,2,6,1,0,1,6,5,1,2,2,5,2,3,4,1,4,851.0,0.0,140.0,991.0,1.0,0.0,1.0,205.0,190,50,7420,5,6,1939,1950,0,1077,0,0,1077,1,0,2,2,5,2,1939,0,4,0,0,0,0,0,1,2008
11,1,1,3,3,4,0,19,2,2,0,2,3,1,2,3,4,1,4,4,3,5,6,1,0,1,6,3,5,3,5,5,2,3,4,1,4,906.0,0.0,134.0,1040.0,1.0,0.0,1.0,384.0,20,70,11200,5,5,1965,1965,0,1040,0,0,1040,1,0,3,1,5,0,1965,0,0,0,0,0,0,0,2,2008
12,1,1,0,3,4,0,16,2,2,0,5,3,1,3,0,4,2,0,4,3,2,6,1,0,1,6,2,3,0,5,5,2,3,4,1,5,998.0,0.0,177.0,1175.0,1.0,0.0,3.0,736.0,60,85,11924,9,5,2005,2006,286,1182,1142,0,2324,3,0,4,1,11,2,2005,147,21,0,0,0,0,0,7,2006
13,1,1,1,3,4,0,19,2,2,0,2,3,1,2,3,4,1,4,4,3,0,6,1,4,1,6,3,5,3,5,5,2,3,4,1,4,737.0,0.0,175.0,912.0,1.0,0.0,1.0,352.0,20,0,12968,5,6,1962,1962,0,912,0,0,912,1,0,2,1,4,0,1962,140,0,0,0,176,0,0,9,2008
14,1,1,0,3,4,0,5,2,2,0,2,1,1,3,2,4,2,2,4,0,6,6,1,0,1,6,2,1,2,5,5,2,3,4,1,5,0.0,0.0,1494.0,1494.0,0.0,0.0,3.0,840.0,20,91,10652,7,5,2006,2007,306,1494,0,0,1494,2,0,3,1,7,1,2006,160,33,0,0,0,0,0,8,2007
15,1,1,0,3,0,0,12,2,2,0,2,3,1,1,3,4,1,4,4,3,1,6,1,4,1,6,1,1,2,5,5,2,3,1,1,4,733.0,0.0,520.0,1253.0,1.0,0.0,1.0,352.0,20,0,10920,6,5,1960,1960,212,1253,0,0,1253,1,1,2,1,5,1,1960,0,213,176,0,0,0,0,5,2008
16,1,1,3,3,0,0,3,2,2,0,1,1,1,2,3,4,0,4,4,3,6,6,1,0,1,6,3,5,3,5,5,2,3,0,1,4,0.0,0.0,832.0,832.0,0.0,0.0,2.0,576.0,45,51,6120,7,8,1929,2001,0,854,0,0,854,1,0,2,1,5,0,1991,48,112,0,0,0,0,0,7,2007
17,1,1,0,3,1,0,12,2,2,0,2,1,1,1,3,4,1,4,4,3,0,6,1,0,1,6,5,1,0,5,5,2,3,4,3,4,578.0,0.0,426.0,1004.0,1.0,0.0,2.0,480.0,20,0,11241,6,7,1970,1970,180,1004,0,0,1004,1,0,2,1,5,1,1970,0,0,0,0,0,0,700,3,2010
18,1,1,3,3,4,0,19,2,2,2,2,1,1,2,3,4,3,3,2,4,4,4,1,4,1,6,3,4,3,5,5,2,3,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,516.0,90,72,10791,4,5,1967,1967,0,1296,0,0,1296,2,0,2,2,6,0,1967,0,0,0,0,0,0,500,10,2006
19,1,1,3,3,4,0,20,5,2,0,2,1,1,2,3,4,2,4,4,3,2,6,1,0,1,6,3,5,3,5,5,2,3,4,1,4,646.0,0.0,468.0,1114.0,1.0,0.0,2.0,576.0,20,66,13695,5,5,2004,2004,0,1114,0,0,1114,1,1,3,1,6,0,2004,0,102,0,0,0,0,0,6,2008
20,1,1,3,3,4,0,12,2,2,0,2,3,1,2,3,4,1,4,4,3,3,6,1,4,1,2,3,1,3,5,5,2,3,2,1,0,504.0,0.0,525.0,1029.0,0.0,0.0,1.0,294.0,20,70,7560,5,6,1958,1965,0,1339,0,0,1339,1,0,3,1,6,0,1958,0,0,0,0,0,0,0,5,2009
21,1,1,0,3,0,0,16,2,2,0,5,1,1,1,2,4,2,0,4,0,6,6,1,0,1,6,2,3,2,5,5,2,3,4,1,5,0.0,0.0,1158.0,1158.0,0.0,0.0,3.0,853.0,60,101,14215,8,5,2005,2006,380,1158,1218,0,2376,3,1,4,1,9,1,2005,240,154,0,0,0,0,0,11,2006
22,1,0,3,0,4,0,9,2,2,0,1,1,1,2,3,4,2,4,4,3,6,6,1,0,1,6,2,1,3,5,5,0,3,0,1,4,0.0,0.0,637.0,637.0,0.0,0.0,1.0,280.0,45,57,7449,7,7,1930,1950,0,1108,0,0,1108,1,0,3,1,6,1,1930,0,0,205,0,0,0,0,6,2007
23,1,1,3,3,4,0,5,2,2,0,2,3,1,1,2,4,2,2,4,3,6,6,1,0,1,6,2,1,2,5,5,2,3,4,1,4,0.0,0.0,1777.0,1777.0,0.0,0.0,2.0,534.0,20,75,9742,8,5,2002,2002,281,1795,0,0,1795,2,0,3,1,7,1,2002,171,159,0,0,0,0,0,9,2008
24,1,1,3,3,4,0,10,2,2,4,2,1,1,2,3,4,2,2,4,3,2,6,1,4,1,6,5,1,3,5,5,2,3,4,1,4,840.0,0.0,200.0,1040.0,1.0,0.0,2.0,572.0,120,44,4224,5,7,1976,1976,0,1060,0,0,1060,1,0,3,1,6,1,1976,100,110,0,0,0,0,0,6,2007
25,1,1,0,3,4,0,19,2,2,0,2,1,1,2,3,2,1,4,4,2,5,0,1,0,1,6,5,1,3,5,5,2,3,2,1,4,188.0,668.0,204.0,1060.0,1.0,0.0,1.0,270.0,20,0,8246,5,8,1968,2001,0,1060,0,0,1060,1,0,3,1,6,1,1968,406,90,0,0,0,0,0,5,2010
26,1,1,3,3,0,0,16,2,2,0,2,1,1,3,2,4,2,2,4,3,6,6,1,0,1,6,2,1,2,5,5,2,3,4,1,4,0.0,0.0,1566.0,1566.0,0.0,0.0,3.0,890.0,20,110,14230,8,5,2007,2007,640,1600,0,0,1600,2,0,3,1,7,1,2007,0,56,0,0,0,0,0,7,2009
27,1,1,3,3,0,0,12,2,2,0,2,1,1,2,3,4,1,4,4,2,1,5,1,4,1,6,3,5,3,5,5,2,3,4,1,4,234.0,486.0,180.0,900.0,0.0,1.0,2.0,576.0,20,60,7200,5,7,1951,2000,0,900,0,0,900,1,0,3,1,5,0,2005,222,32,0,0,0,0,0,5,2010
28,1,1,3,3,4,0,16,2,2,0,2,1,1,3,2,4,2,0,4,3,2,6,1,0,1,6,2,1,2,5,5,2,3,4,1,4,1218.0,0.0,486.0,1704.0,1.0,0.0,3.0,772.0,20,98,11478,8,5,2007,2008,200,1704,0,0,1704,2,0,3,1,7,1,2008,0,50,0,0,0,0,0,5,2010
29,1,1,0,3,1,0,12,2,2,0,2,1,1,2,3,4,1,4,4,1,1,6,1,4,1,6,2,1,2,5,5,2,3,4,1,4,1277.0,0.0,207.0,1484.0,1.0,0.0,1.0,319.0,20,47,16321,5,6,1957,1997,0,1600,0,0,1600,1,0,2,1,6,2,1957,288,258,0,0,0,0,0,12,2006
30,1,1,0,3,4,0,3,1,7,0,2,1,1,2,3,4,0,4,4,3,6,6,1,1,0,6,3,5,3,1,5,2,3,4,1,4,0.0,0.0,520.0,520.0,0.0,0.0,1.0,240.0,30,60,6324,4,6,1927,1950,0,520,0,0,520,1,0,1,1,4,0,1920,49,0,87,0,0,0,0,5,2008
31,1,2,3,3,4,0,9,1,2,0,5,2,1,2,3,1,0,4,4,3,6,6,1,4,0,6,3,5,3,5,1,0,3,2,1,4,0.0,0.0,649.0,649.0,0.0,0.0,1.0,250.0,70,50,8500,4,4,1920,1950,0,649,668,0,1317,1,0,3,1,6,0,1920,0,54,172,0,0,0,0,7,2008
32,1,1,0,3,1,0,19,2,2,0,2,1,1,2,3,4,1,4,4,3,6,6,1,2,1,6,3,1,3,5,5,2,3,2,1,4,0.0,0.0,1228.0,1228.0,0.0,0.0,1.0,271.0,20,0,8544,5,6,1966,2006,0,1228,0,0,1228,1,1,3,1,6,0,1966,0,65,0,0,0,0,0,6,2008
33,1,1,3,3,0,0,5,2,2,0,2,1,1,2,2,4,2,0,4,0,6,6,1,0,1,6,3,1,2,5,5,2,3,4,1,4,0.0,0.0,1234.0,1234.0,0.0,0.0,2.0,484.0,20,85,11049,8,5,2007,2007,0,1234,0,0,1234,2,0,3,1,7,0,2007,0,30,0,0,0,0,0,1,2008
34,1,1,0,3,4,0,12,2,2,0,2,3,1,2,3,4,1,4,4,3,5,6,1,2,1,6,2,1,2,5,5,2,3,4,1,4,1018.0,0.0,380.0,1398.0,0.0,1.0,2.0,447.0,20,70,10552,5,5,1959,1959,0,1700,0,0,1700,1,1,4,1,6,1,1959,0,38,0,0,0,0,0,4,2010
35,1,1,3,3,4,0,16,2,2,4,2,3,1,1,0,4,2,0,4,3,2,6,1,0,1,6,2,1,0,5,5,2,3,4,1,4,1153.0,0.0,408.0,1561.0,1.0,0.0,2.0,556.0,120,60,7313,9,5,2005,2005,246,1561,0,0,1561,2,0,2,1,6,1,2005,203,47,0,0,0,0,0,8,2007
36,1,1,3,3,4,0,16,2,2,0,5,1,1,3,2,4,2,0,4,0,6,6,1,0,1,6,2,3,0,5,5,2,3,4,1,4,0.0,0.0,1117.0,1117.0,0.0,0.0,3.0,691.0,60,108,13418,8,5,2004,2005,132,1132,1320,0,2452,3,1,4,1,9,1,2004,113,32,0,0,0,0,0,9,2006
37,1,1,3,3,0,0,5,2,2,0,2,1,1,2,3,4,2,2,4,3,6,6,1,0,1,6,3,1,3,5,5,2,3,4,1,4,0.0,0.0,1097.0,1097.0,0.0,0.0,2.0,672.0,20,112,10859,5,5,1994,1995,0,1097,0,0,1097,1,1,3,1,6,0,1995,392,64,0,0,0,0,0,6,2009
38,1,1,3,3,4,0,12,2,2,0,2,3,1,1,3,4,1,4,4,3,5,6,1,2,1,6,5,1,0,5,5,2,3,4,1,4,1213.0,0.0,84.0,1297.0,0.0,1.0,2.0,498.0,20,74,8532,5,6,1954,1990,650,1297,0,0,1297,1,0,3,1,5,1,1954,0,0,0,0,0,0,0,10,2009
39,1,1,3,3,4,0,12,2,2,0,2,1,1,2,3,2,1,4,4,3,2,6,1,4,1,6,3,5,3,5,5,2,3,4,1,0,731.0,0.0,326.0,1057.0,1.0,0.0,1.0,246.0,20,68,7922,5,7,1953,2007,0,1057,0,0,1057,1,0,3,1,5,0,1953,0,52,0,0,0,0,0,1,2010
40,1,1,3,3,4,0,7,2,2,2,2,1,1,2,3,4,2,3,2,4,4,4,1,4,0,6,3,6,1,3,3,0,3,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,65,6040,4,5,1955,1955,0,1152,0,0,1152,2,0,2,2,6,0,0,0,0,0,0,0,0,0,6,2008
41,1,1,3,3,4,0,12,2,2,0,2,1,1,1,3,4,1,4,4,3,5,6,1,0,1,6,5,1,2,5,5,2,3,1,1,0,643.0,0.0,445.0,1088.0,0.0,0.0,2.0,440.0,20,84,8658,6,5,1965,1965,101,1324,0,0,1324,2,0,3,1,6,1,1965,0,138,0,0,0,0,0,12,2006
42,1,1,3,3,4,0,23,2,2,0,2,1,1,2,3,2,1,4,4,1,1,6,1,2,1,6,2,1,2,5,5,1,3,4,1,4,967.0,0.0,383.0,1350.0,0.0,1.0,1.0,308.0,20,115,16905,5,6,1959,1959,0,1328,0,0,1328,1,1,2,1,5,2,1959,0,104,0,0,0,0,0,7,2007
43,1,1,0,3,1,0,20,2,2,0,6,1,1,2,3,4,1,2,4,0,0,3,1,2,1,6,3,1,2,5,2,2,3,2,1,4,747.0,93.0,0.0,840.0,1.0,0.0,2.0,504.0,85,0,9180,5,7,1983,1983,0,884,0,0,884,1,0,2,1,5,0,1983,240,0,0,0,0,0,0,12,2007
44,1,1,0,3,1,0,5,2,2,0,2,3,1,2,3,4,1,2,4,0,3,1,1,4,1,6,3,5,3,5,5,2,3,2,1,4,280.0,491.0,167.0,938.0,1.0,0.0,1.0,308.0,20,0,9200,5,6,1975,1980,0,938,0,0,938,1,0,3,1,5,0,1977,145,0,0,0,0,0,0,7,2008
45,1,1,3,3,4,0,12,2,2,0,2,1,1,2,3,4,1,4,4,3,0,1,1,0,1,6,3,1,2,5,5,2,3,4,1,4,179.0,506.0,465.0,1150.0,1.0,0.0,1.0,300.0,20,70,7945,5,6,1959,1959,0,1150,0,0,1150,1,0,3,1,6,0,1959,0,0,0,0,0,0,0,5,2006
46,1,1,3,3,4,0,16,2,2,4,2,3,1,1,0,4,2,0,4,3,2,6,1,0,1,6,2,1,2,5,5,2,3,4,1,4,456.0,0.0,1296.0,1752.0,1.0,0.0,2.0,576.0,120,61,7658,9,5,2005,2005,412,1752,0,0,1752,2,0,2,1,6,1,2005,196,82,0,0,0,0,0,2,2010
47,1,1,0,3,1,0,11,2,2,0,0,1,1,2,2,4,2,0,4,3,2,6,1,0,1,6,0,1,2,5,5,2,3,4,1,0,1351.0,0.0,83.0,1434.0,1.0,0.0,2.0,670.0,50,48,12822,7,5,2003,2003,0,1518,631,0,2149,1,1,1,1,6,1,2003,168,43,0,0,198,0,0,8,2009
